bins	Source	dummy
F5GI_2_bin.1	Fish Gut	1
F5GI_2_bin.2	Fish Gut	1
F5GI_2_bin.3	Fish Gut	1
F5GI_3_bin.1	Fish Gut	1
F5GI_3_bin.2	Fish Gut	1
F5GI_3_bin.3	Fish Gut	1
F5GI_3_bin.4	Fish Gut	1
F5GI_3_bin.5	Fish Gut	1
F5GI_3_bin.6	Fish Gut	1
F5GI_3_bin.7	Fish Gut	1
F5HG_2_bin.1	Fish Gut	1
F5HG_2_bin.2	Fish Gut	1
F5HG_2_bin.3	Fish Gut	1
F5HG_2_bin.4	Fish Gut	1
F5HG_2_bin.5	Fish Gut	1
F5HG_2_bin.6	Fish Gut	1
F5HG_2_bin.7	Fish Gut	1
F5HG_2_bin.8	Fish Gut	1
F5HG_2_bin.9	Fish Gut	1
F5HG_3_bin.1	Fish Gut	1
F5HG_3_bin.10	Fish Gut	1
F5HG_3_bin.11	Fish Gut	1
F5HG_3_bin.12	Fish Gut	1
F5HG_3_bin.2	Fish Gut	1
F5HG_3_bin.3	Fish Gut	1
F5HG_3_bin.4	Fish Gut	1
F5HG_3_bin.5	Fish Gut	1
F5HG_3_bin.6	Fish Gut	1
F5HG_3_bin.7	Fish Gut	1
F5HG_3_bin.8	Fish Gut	1
F5HG_3_bin.9	Fish Gut	1
F6GI_3_bin.1	Fish Gut	1
F6GI_3_bin.2	Fish Gut	1
F6GI_3_bin.3	Fish Gut	1
F6GI_3_bin.4	Fish Gut	1
F6GI_4_bin.1	Fish Gut	1
F6GI_4_bin.10	Fish Gut	1
F6GI_4_bin.11	Fish Gut	1
F6GI_4_bin.12	Fish Gut	1
F6GI_4_bin.2	Fish Gut	1
F6GI_4_bin.3	Fish Gut	1
F6GI_4_bin.4	Fish Gut	1
F6GI_4_bin.5	Fish Gut	1
F6GI_4_bin.6	Fish Gut	1
F6GI_4_bin.7	Fish Gut	1
F6GI_4_bin.8	Fish Gut	1
F6GI_4_bin.9	Fish Gut	1
F6HG_2_bin.1	Fish Gut	1
F6HG_2_bin.10	Fish Gut	1
F6HG_2_bin.11	Fish Gut	1
F6HG_2_bin.12	Fish Gut	1
F6HG_2_bin.13	Fish Gut	1
F6HG_2_bin.14	Fish Gut	1
F6HG_2_bin.15	Fish Gut	1
F6HG_2_bin.16	Fish Gut	1
F6HG_2_bin.17	Fish Gut	1
F6HG_2_bin.2	Fish Gut	1
F6HG_2_bin.3	Fish Gut	1
F6HG_2_bin.4	Fish Gut	1
F6HG_2_bin.5	Fish Gut	1
F6HG_2_bin.6	Fish Gut	1
F6HG_2_bin.7	Fish Gut	1
F6HG_2_bin.8	Fish Gut	1
F6HG_2_bin.9	Fish Gut	1
F6HG_3_bin.1	Fish Gut	1
F6HG_3_bin.10	Fish Gut	1
F6HG_3_bin.11	Fish Gut	1
F6HG_3_bin.12	Fish Gut	1
F6HG_3_bin.13	Fish Gut	1
F6HG_3_bin.14	Fish Gut	1
F6HG_3_bin.15	Fish Gut	1
F6HG_3_bin.16	Fish Gut	1
F6HG_3_bin.17	Fish Gut	1
F6HG_3_bin.18	Fish Gut	1
F6HG_3_bin.19	Fish Gut	1
F6HG_3_bin.2	Fish Gut	1
F6HG_3_bin.20	Fish Gut	1
F6HG_3_bin.21	Fish Gut	1
F6HG_3_bin.22	Fish Gut	1
F6HG_3_bin.23	Fish Gut	1
F6HG_3_bin.24	Fish Gut	1
F6HG_3_bin.25	Fish Gut	1
F6HG_3_bin.3	Fish Gut	1
F6HG_3_bin.4	Fish Gut	1
F6HG_3_bin.5	Fish Gut	1
F6HG_3_bin.6	Fish Gut	1
F6HG_3_bin.7	Fish Gut	1
F6HG_3_bin.8	Fish Gut	1
F6HG_3_bin.9	Fish Gut	1
F7GI_2_bin.1	Fish Gut	1
F7GI_3_bin.1	Fish Gut	1
F7GI_3_bin.10	Fish Gut	1
F7GI_3_bin.2	Fish Gut	1
F7GI_3_bin.3	Fish Gut	1
F7GI_3_bin.4	Fish Gut	1
F7GI_3_bin.5	Fish Gut	1
F7GI_3_bin.6	Fish Gut	1
F7GI_3_bin.7	Fish Gut	1
F7GI_3_bin.8	Fish Gut	1
F7GI_3_bin.9	Fish Gut	1
F7HG_2_bin.1	Fish Gut	1
F7HG_2_bin.10	Fish Gut	1
F7HG_2_bin.11	Fish Gut	1
F7HG_2_bin.12	Fish Gut	1
F7HG_2_bin.13	Fish Gut	1
F7HG_2_bin.14	Fish Gut	1
F7HG_2_bin.15	Fish Gut	1
F7HG_2_bin.16	Fish Gut	1
F7HG_2_bin.17	Fish Gut	1
F7HG_2_bin.18	Fish Gut	1
F7HG_2_bin.2	Fish Gut	1
F7HG_2_bin.3	Fish Gut	1
F7HG_2_bin.4	Fish Gut	1
F7HG_2_bin.5	Fish Gut	1
F7HG_2_bin.6	Fish Gut	1
F7HG_2_bin.7	Fish Gut	1
F7HG_2_bin.8	Fish Gut	1
F7HG_2_bin.9	Fish Gut	1
F7HG_3_bin.1	Fish Gut	1
F7HG_3_bin.2	Fish Gut	1
F7HG_3_bin.3	Fish Gut	1
F7HG_3_bin.5	Fish Gut	1
F7HG_3_bin.6	Fish Gut	1
F7HG_3_bin.7	Fish Gut	1
F7HG_3_bin.8	Fish Gut	1
F8GI_2_bin.1	Fish Gut	1
F8GI_3_bin.1	Fish Gut	1
F8GI_3_bin.2	Fish Gut	1
F8HG_2_bin.1	Fish Gut	1
F8HG_2_bin.2	Fish Gut	1
F8HG_2_bin.3	Fish Gut	1
F8HG_2_bin.4	Fish Gut	1
F8HG_2_bin.6	Fish Gut	1
F8HG_2_bin.7	Fish Gut	1
F8HG_3_bin.1	Fish Gut	1
F8HG_3_bin.2	Fish Gut	1
F8HG_3_bin.3	Fish Gut	1
