id	source	Bacillota	Bacteroidota	Gammaproteobacteria	Alphaproteobacteria	Desulfovibrionales	Verrucomicrobiota	Spirochaetota	Fusobacteriota	Fibrobacterota	WOR-3	Eukaryota	Other Taxa	
R1_25	grey	0.2715143257	0.0243673210	0.3896192217	0.0000059836	0.0038548888	0.0000012380	0.0000072216	0.0238906955	0.0000016507	0.0000000000	0	0.2867374535	1.0000000000
R1_12	grey	0.1654319407	0.1394776022	0.0128260372	0.0000317262	0.0348688237	0.0119878887	0.1257770756	0.0000248041	0.0001730520	0.0000213431	0	0.5093797067	1.0000000000
R2_8	grey	0.1659836472	0.0000173346	0.7390629746	0.0000000000	0.0004185065	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0	0.0945175371	1.0000000000
R1_6	grey	0.1947265175	0.2170888873	0.3494289660	0.0000012356	0.0216395593	0.0000334978	0.0000045304	0.0001190269	0.0000028830	0.0000000000	0	0.2169548962	1.0000000000
R2_24	grey	0.7888447066	0.0008908036	0.0061164678	0.0000016435	0.1610554806	0.0001354284	0.0000006574	0.0000200513	0.0000003287	0.0000000000	0	0.0429344319	1.0000000000
R1_43	grey	0.1375807046	0.0025873239	0.4502688512	0.0000028108	0.0272631706	0.0000000000	0.0144783331	0.0012423652	0.0000000000	0.0000000000	0	0.3665764406	1.0000000000
R2_26	grey	0.0949978301	0.0153959270	0.0025650206	0.0000008598	0.8114423992	0.0002253349	0.0000000716	0.0103240646	0.0000000000	0.0000000000	0	0.0650484921	1.0000000000
R1_38	grey	0.3511128913	0.0003059686	0.0427855383	0.0000000000	0.0041111055	0.0000166892	0.0000000000	0.0007565769	0.0000000000	0.0000000000	0	0.6009112302	1.0000000000
R1_28	grey	0.0185792300	0.2888179165	0.1396002845	0.0000167446	0.0742775624	0.0193119237	0.0000111891	0.0000000782	0.0000096242	0.0000000000	0	0.4593754467	1.0000000000
R1_29	grey	0.0949138593	0.0000356956	0.8608998097	0.0000008824	0.0001212848	0.0000006417	0.0000000000	0.0000067380	0.0000000000	0.0000000000	0	0.0440210885	1.0000000000
Empty	white	0	0	0	0	0	0	0	0	0	0	0	0	0
F5GI_2	lightblue	0.0189489172	0.0007056494	0.7925885031	0.0000010627	0.0076550735	0.0000302877	0.0291765821	0.0000000000	0.0000002657	0.0000000000	0	0.1508936587	1.0000000000
F5GI_3	lightblue	0.0360034609	0.0044517639	0.6176007787	0.0000045228	0.0089145397	0.0006705471	0.0508272702	0.0000003933	0.0000027530	0.0000000000	0	0.2815239706	1.0000000000
F5HG_2	lightblue	0.0602083459	0.0557047479	0.2912736592	0.0001183051	0.0059266895	0.0063288020	0.0022842861	0.0000002079	0.0000158017	0.0000030148	0	0.5781361398	1.0000000000
F5HG_3	lightblue	0.0783663182	0.0510521690	0.2334844562	0.0001027740	0.0065117466	0.0115656576	0.0014353199	0.0000015551	0.0000227861	0.0000014875	0	0.6174557298	1.0000000000
F6GI_3	lightblue	0.3589792522	0.0912785134	0.1095810017	0.0000150480	0.0342376505	0.0000027360	0.0002216162	0.0091601362	0.0000088920	0.0000041040	0	0.3965110497	1.0000000000
F6GI_4	lightblue	0.0536531335	0.1277350172	0.1218444154	0.0001158842	0.0050437968	0.0304135718	0.0001330719	0.0003465894	0.0002330087	0.0002347806	0	0.6602467305	1.0000000000
F6HG_2	lightblue	0.0499584726	0.2786424231	0.1217916693	0.0029658950	0.0096340335	0.0049379718	0.0025001577	0.0000316449	0.0033236611	0.0025495700	0	0.5236645009	1.0000000000
F6HG_3	lightblue	0.0594167328	0.2476315085	0.1106842756	0.0034868749	0.0103952489	0.0071430654	0.0024135383	0.0000107980	0.0038462208	0.0035574659	0	0.5514142708	1.0000000000
F7GI_2	lightblue	0.0019898562	0.0002402567	0.7821461262	0.0000058959	0.0068849023	0.0000088438	0.0000117917	0.0000000000	0.0000014740	0.0000000000	0	0.2087108533	1.0000000000
