bin	taxa	size	cgcs	cgcgenes
F6HG_3_bin.23	Verrucomicrobiota	2027779	4	25
F6GI_4_bin.2	Verrucomicrobiota	2185523	8	72
R1_28_bin.11	Verrucomicrobiota	1419215	0	0
R1_28_bin.12	Verrucomicrobiota	2074260	2	15
F7HG_2_bin.11	Verrucomicrobiota	2143646	5	30
F5HG_3_bin.11	Verrucomicrobiota	2088857	1	7
F6HG_3_bin.8	Alphaproteobacteria	1035165	0	0
F6HG_3_bin.18	Alphaproteobacteria	849054	0	0
F6HG_3_bin.5	Alphaproteobacteria	654781	0	0
F5HG_2_bin.1	Gammaproteobacteria	5741867	39	629
F5GI_2_bin.3	Gammaproteobacteria	6202687	40	679
F5GI_3_bin.2	Gammaproteobacteria	5907086	40	682
R1_6_bin.14	Gammaproteobacteria	5440652	26	261
F5HG_3_bin.6	Gammaproteobacteria	3789340	20	240
F5HG_2_bin.2	Gammaproteobacteria	3094060	15	132
R1_28_bin.8	Gammaproteobacteria	4068127	20	231
F6GI_4_bin.3	Gammaproteobacteria	3895286	22	215
R1_6_bin.11	Gammaproteobacteria	3309424	8	68
R1_25_bin.7	Gammaproteobacteria	3456074	11	120
F5HG_3_bin.10	Gammaproteobacteria	3225302	2	21
R2_8_bin.2	Gammaproteobacteria	4595578	26	460
R1_43_bin.1	Gammaproteobacteria	3517286	12	138
R1_6_bin.12	Gammaproteobacteria	3873961	14	159
R1_43_bin.2	Gammaproteobacteria	3757436	11	82
R1_29_bin.6	Gammaproteobacteria	2553268	0	0
F7HG_2_bin.8	Gammaproteobacteria	2210994	0	0
R1_29_bin.3	Gammaproteobacteria	3129696	1	7
F8GI_3_bin.1	Gammaproteobacteria	2762130	2	14
F7GI_3_bin.7	Gammaproteobacteria	2513279	1	9
F8HG_2_bin.7	Gammaproteobacteria	2106824	0	0
F7GI_3_bin.3	Gammaproteobacteria	2277438	2	15
F5HG_2_bin.7	Gammaproteobacteria	2452796	6	53
F7GI_2_bin.1	Gammaproteobacteria	2718292	3	35
F5HG_3_bin.7	Gammaproteobacteria	2744191	4	34
F5GI_3_bin.4	Gammaproteobacteria	2514929	6	47
F5GI_2_bin.1	Gammaproteobacteria	2667668	5	46
F8GI_2_bin.1	Gammaproteobacteria	2224402	0	0
F8HG_2_bin.2	Gammaproteobacteria	2742881	3	21
F6HG_3_bin.19	Gammaproteobacteria	2542077	4	39
F6HG_2_bin.6	Gammaproteobacteria	2365579	3	11
R1_6_bin.13	Desulfovibrionales	2033577	2	10
R1_28_bin.13	Desulfovibrionales	2861985	1	5
R2_26_bin.5	Desulfovibrionales	3462578	4	67
R2_24_bin.4	Desulfovibrionales	3833333	6	100
R2_26_bin.1	Desulfovibrionales	3184640	3	28
R2_24_bin.5	Desulfovibrionales	2950030	2	13
F7GI_3_bin.9	Desulfovibrionales	2180114	0	0
F6GI_3_bin.4	Desulfovibrionales	2070086	0	0
F7GI_3_bin.5	Desulfovibrionales	2161634	0	0
F7GI_3_bin.10	Desulfovibrionales	1981026	0	0
R1_28_bin.6	Desulfovibrionales	2326262	0	0
F7HG_2_bin.2	Desulfovibrionales	2346773	0	0
F7HG_3_bin.2	Desulfovibrionales	2409871	0	0
R2_26_bin.7	Bacteroidota	2362700	10	80
R1_6_bin.2	Bacteroidota	1993577	1	6
F6HG_2_bin.13	Bacteroidota	1729002	3	27
R1_6_bin.6	Bacteroidota	2114263	7	71
R1_28_bin.7	Bacteroidota	2023988	4	29
F7HG_2_bin.17	Bacteroidota	1909643	2	18
F6HG_3_bin.10	Bacteroidota	1804416	1	6
F6HG_2_bin.14	Bacteroidota	1870812	4	30
F6HG_3_bin.22	Bacteroidota	2045577	1	5
F6HG_2_bin.12	Bacteroidota	2089153	1	4
F6HG_3_bin.3	Bacteroidota	1999254	3	38
F6HG_2_bin.9	Bacteroidota	1964335	3	36
F6HG_3_bin.2	Bacteroidota	1788710	2	17
F6HG_2_bin.5	Bacteroidota	1882373	2	17
F7HG_3_bin.7	Bacteroidota	2325712	2	10
F7HG_2_bin.4	Bacteroidota	2251624	2	10
R1_12_bin.4	Bacteroidota	2090375	0	0
F6HG_3_bin.14	Bacteroidota	2247250	5	63
F6HG_2_bin.15	Bacteroidota	2266426	1	5
R1_6_bin.8	Bacteroidota	2436075	12	182
R1_12_bin.1	Bacteroidota	2248475	1	7
R1_6_bin.16	Bacteroidota	2717868	11	149
F6HG_3_bin.9	Bacteroidota	2168198	12	114
F6HG_2_bin.4	Bacteroidota	2234580	9	92
F6GI_4_bin.11	Bacteroidota	1829830	0	0
R1_28_bin.9	Bacteroidota	1817585	1	15
F7HG_2_bin.15	Bacteroidota	1774620	1	4
R1_6_bin.9	Bacteroidota	2218212	12	129
F6GI_4_bin.10	Bacteroidota	1737287	1	4
F5HG_3_bin.3	Bacteroidota	2066369	2	13
F5HG_2_bin.3	Bacteroidota	1919620	2	10
F6GI_4_bin.7	Bacteroidota	1481627	3	15
F6GI_3_bin.2	Bacteroidota	1703157	1	6
R1_28_bin.1	Bacteroidota	1867435	3	15
