longBGC	MAG	query	class	product	length (kb)	completeness	best hit	distance	novel	complete+novel	short-BGC	taxonomy
F5GI_3_bin.4-c00025_NODE_90...region001	F5GI_3_bin.4	bacteria-dddf310b-bd50-47fb-b291-d8219c30e809	Others	betalactone	20.49	Fragmented	GCF_07410	810	FALSE	FALSE	c00025_NODE_90...region001	Gammaproteobacteria
F5GI_2_bin.1-c00053_NODE_10...region001	F5GI_2_bin.1	bacteria-42340f0f-cb68-4775-9322-e13714f522ff	Others	betalactone	15.18	Fragmented	GCF_07410	769	FALSE	FALSE	c00053_NODE_10...region001	Gammaproteobacteria
F5GI_3_bin.1-c00005_NODE_97...region001	F5GI_3_bin.1	bacteria-863b2696-a434-44f9-b2db-3e4b9165d7ec	RiPPs	RRE-containing	11.86	Fragmented	GCF_05012	583	FALSE	FALSE	c00005_NODE_97...region001	Bacillota
F5GI_3_bin.2-c00003_NODE_3_...region001	F5GI_3_bin.2	bacteria-0fe26036-c4c0-4b14-9225-a1e91e819439	Others	ectoine	10.39	Complete	GCF_00822	654	FALSE	FALSE	c00003_NODE_3_...region001	Gammaproteobacteria
F5GI_3_bin.2-c00009_NODE_9_...region001	F5GI_3_bin.2	bacteria-0fe26036-c4c0-4b14-9225-a1e91e819439	RiPPs	RiPP-like	10.87	Complete	GCF_00692	979	TRUE	TRUE	c00009_NODE_9_...region001	Gammaproteobacteria
F5GI_3_bin.2-c00010_NODE_10...region001	F5GI_3_bin.2	bacteria-0fe26036-c4c0-4b14-9225-a1e91e819439	Others	furan	20.99	Complete	GCF_00001	807	FALSE	FALSE	c00010_NODE_10...region001	Gammaproteobacteria
F5GI_3_bin.2-c00014_NODE_14...region001	F5GI_3_bin.2	bacteria-0fe26036-c4c0-4b14-9225-a1e91e819439	Others	betalactone	31.6	Complete	GCF_00781	533	FALSE	FALSE	c00014_NODE_14...region001	Gammaproteobacteria
F5GI_3_bin.2-c00015_NODE_15...region001	F5GI_3_bin.2	bacteria-0fe26036-c4c0-4b14-9225-a1e91e819439	NRPS	NRPS	43.95	Complete	GCF_02242	640	FALSE	FALSE	c00015_NODE_15...region001	Gammaproteobacteria
F5GI_3_bin.2-c00029_NODE_55...region001	F5GI_3_bin.2	bacteria-0fe26036-c4c0-4b14-9225-a1e91e819439	RiPPs	RiPP-like	10.87	Complete	GCF_00001	429	FALSE	FALSE	c00029_NODE_55...region001	Gammaproteobacteria
F5GI_2_bin.3-c00008_NODE_8_...region001	F5GI_2_bin.3	bacteria-9308b658-963d-44d6-bf78-8de28300514d	RiPPs	RiPP-like	10.87	Complete	GCF_00692	979	TRUE	TRUE	c00008_NODE_8_...region001	Gammaproteobacteria
F5GI_2_bin.3-c00010_NODE_10...region001	F5GI_2_bin.3	bacteria-9308b658-963d-44d6-bf78-8de28300514d	NRPS	NRPS	43.95	Complete	GCF_02242	640	FALSE	FALSE	c00010_NODE_10...region001	Gammaproteobacteria
F5GI_2_bin.3-c00011_NODE_11...region001	F5GI_2_bin.3	bacteria-9308b658-963d-44d6-bf78-8de28300514d	Others	furan	20.99	Complete	GCF_00001	807	FALSE	FALSE	c00011_NODE_11...region001	Gammaproteobacteria
