MAG_id	Sulfate Reduction
F5GI_2_bin.1	No marker genes
F5GI_2_bin.2	No marker genes
F5GI_2_bin.3	No marker genes
F5GI_3_bin.1	No marker genes
F5GI_3_bin.2	No marker genes
F5GI_3_bin.3	No marker genes
F5GI_3_bin.4	No marker genes
F5GI_3_bin.5	No marker genes
F5GI_3_bin.6	No marker genes
F5GI_3_bin.7	No marker genes
F5HG_2_bin.1	No marker genes
F5HG_2_bin.2	No marker genes
F5HG_2_bin.3	No marker genes
F5HG_2_bin.4	No marker genes
F5HG_2_bin.5	No marker genes
F5HG_2_bin.6	No marker genes
F5HG_2_bin.7	No marker genes
F5HG_2_bin.8	No marker genes
F5HG_2_bin.9	No marker genes
F5HG_3_bin.1	No marker genes
F5HG_3_bin.10	No marker genes
F5HG_3_bin.11	No marker genes
F5HG_3_bin.12	No marker genes
F5HG_3_bin.2	No marker genes
F5HG_3_bin.3	No marker genes
F5HG_3_bin.4	No marker genes
F5HG_3_bin.5	No marker genes
F5HG_3_bin.6	No marker genes
F5HG_3_bin.7	No marker genes
F5HG_3_bin.8	No marker genes
F5HG_3_bin.9	No marker genes
F6GI_3_bin.1	No marker genes
F6GI_3_bin.2	No marker genes
F6GI_3_bin.3	No marker genes
F6GI_3_bin.4	Incomplete Pathway
F6GI_4_bin.1	No marker genes
F6GI_4_bin.10	No marker genes
F6GI_4_bin.11	No marker genes
F6GI_4_bin.12	No marker genes
F6GI_4_bin.2	No marker genes
F6GI_4_bin.3	No marker genes
F6GI_4_bin.4	No marker genes
F6GI_4_bin.5	No marker genes
F6GI_4_bin.6	No marker genes
F6GI_4_bin.7	No marker genes
F6GI_4_bin.8	Incomplete Pathway
F6GI_4_bin.9	No marker genes
F6HG_2_bin.1	No marker genes
F6HG_2_bin.10	No marker genes
F6HG_2_bin.11	No marker genes
F6HG_2_bin.12	No marker genes
F6HG_2_bin.13	No marker genes
F6HG_2_bin.14	No marker genes
F6HG_2_bin.15	No marker genes
F6HG_2_bin.16	No marker genes
F6HG_2_bin.17	No marker genes
F6HG_2_bin.2	No marker genes
F6HG_2_bin.3	No marker genes
F6HG_2_bin.4	No marker genes
F6HG_2_bin.5	No marker genes
F6HG_2_bin.6	No marker genes
F6HG_2_bin.7	No marker genes
F6HG_2_bin.8	No marker genes
F6HG_2_bin.9	No marker genes
F6HG_3_bin.1	No marker genes
F6HG_3_bin.10	No marker genes
F6HG_3_bin.11	No marker genes
F6HG_3_bin.12	No marker genes
F6HG_3_bin.13	No marker genes
F6HG_3_bin.14	No marker genes
F6HG_3_bin.15	No marker genes
F6HG_3_bin.16	No marker genes
F6HG_3_bin.17	No marker genes
F6HG_3_bin.18	No marker genes
F6HG_3_bin.19	No marker genes
F6HG_3_bin.2	No marker genes
F6HG_3_bin.20	No marker genes
F6HG_3_bin.21	No marker genes
F6HG_3_bin.22	No marker genes
F6HG_3_bin.23	No marker genes
F6HG_3_bin.24	No marker genes
F6HG_3_bin.25	No marker genes
F6HG_3_bin.3	No marker genes
F6HG_3_bin.4	No marker genes
F6HG_3_bin.5	No marker genes
F6HG_3_bin.6	No marker genes
F6HG_3_bin.7	No marker genes
F6HG_3_bin.8	No marker genes
F6HG_3_bin.9	No marker genes
F7GI_2_bin.1	No marker genes
F7GI_3_bin.1	No marker genes
F7GI_3_bin.10	Incomplete Pathway
F7GI_3_bin.2	No marker genes
F7GI_3_bin.3	No marker genes
F7GI_3_bin.4	No marker genes
F7GI_3_bin.5	Incomplete Pathway
F7GI_3_bin.6	No marker genes
F7GI_3_bin.7	No marker genes
F7GI_3_bin.8	No marker genes
F7GI_3_bin.9	Incomplete Pathway
F7HG_2_bin.1	No marker genes
F7HG_2_bin.10	No marker genes
F7HG_2_bin.11	No marker genes
F7HG_2_bin.12	No marker genes
F7HG_2_bin.13	No marker genes
F7HG_2_bin.14	No marker genes
F7HG_2_bin.15	No marker genes
F7HG_2_bin.16	No marker genes
F7HG_2_bin.17	No marker genes
F7HG_2_bin.18	No marker genes
F7HG_2_bin.2	Complete Pathway
F7HG_2_bin.3	No marker genes
F7HG_2_bin.4	No marker genes
F7HG_2_bin.5	No marker genes
F7HG_2_bin.6	No marker genes
F7HG_2_bin.7	No marker genes
F7HG_2_bin.8	No marker genes
F7HG_2_bin.9	No marker genes
F7HG_3_bin.1	No marker genes
F7HG_3_bin.2	Complete Pathway
F7HG_3_bin.3	No marker genes
F7HG_3_bin.5	No marker genes
F7HG_3_bin.6	No marker genes
F7HG_3_bin.7	No marker genes
F7HG_3_bin.8	No marker genes
F8GI_2_bin.1	No marker genes
F8HG_2_bin.1	No marker genes
F8HG_2_bin.2	No marker genes
F8HG_2_bin.3	No marker genes
F8HG_2_bin.4	No marker genes
F8HG_2_bin.6	No marker genes
F8HG_2_bin.7	No marker genes
R1_12_bin.1	No marker genes
R1_12_bin.2	No marker genes
R1_12_bin.3	No marker genes
R1_12_bin.4	No marker genes
R1_12_bin.5	No marker genes
R1_12_bin.6	No marker genes
R1_25_bin.1	No marker genes
R1_25_bin.2	No marker genes
R1_25_bin.3	No marker genes
R1_25_bin.4	No marker genes
R1_25_bin.5	No marker genes
R1_25_bin.6	No marker genes
R1_25_bin.7	No marker genes
R1_28_bin.1	No marker genes
R1_28_bin.10	No marker genes
R1_28_bin.11	No marker genes
R1_28_bin.12	No marker genes
R1_28_bin.13	Incomplete Pathway
R1_28_bin.14	No marker genes
R1_28_bin.15	No marker genes
R1_28_bin.16	No marker genes
R1_28_bin.17	No marker genes
R1_28_bin.18	No marker genes
R1_28_bin.2	No marker genes
R1_28_bin.3	No marker genes
R1_28_bin.4	No marker genes
R1_28_bin.5	No marker genes
R1_28_bin.6	Complete Pathway
R1_28_bin.7	No marker genes
R1_28_bin.8	No marker genes
R1_28_bin.9	No marker genes
R1_29_bin.1	No marker genes
R1_29_bin.2	No marker genes
R1_29_bin.3	No marker genes
R1_29_bin.4	No marker genes
R1_29_bin.5	Incomplete Pathway
R1_29_bin.6	No marker genes
R1_29_bin.7	No marker genes
R1_38_bin.1	No marker genes
R1_43_bin.1	No marker genes
R1_43_bin.2	No marker genes
R1_43_bin.3	No marker genes
R1_6_bin.1	No marker genes
R1_6_bin.10	No marker genes
R1_6_bin.11	No marker genes
R1_6_bin.12	No marker genes
R1_6_bin.13	Incomplete Pathway
R1_6_bin.14	No marker genes
R1_6_bin.15	No marker genes
R1_6_bin.16	No marker genes
R1_6_bin.2	No marker genes
R1_6_bin.3	No marker genes
R1_6_bin.4	No marker genes
R1_6_bin.5	No marker genes
R1_6_bin.6	No marker genes
R1_6_bin.7	No marker genes
R1_6_bin.8	No marker genes
R1_6_bin.9	No marker genes
R2_24_bin.1	No marker genes
R2_24_bin.2	No marker genes
R2_24_bin.3	No marker genes
R2_24_bin.4	Complete Pathway
R2_24_bin.5	Complete Pathway
R2_26_bin.1	Complete Pathway
R2_26_bin.2	No marker genes
R2_26_bin.3	No marker genes
R2_26_bin.4	No marker genes
R2_26_bin.5	Complete Pathway
R2_26_bin.6	No marker genes
R2_26_bin.7	No marker genes
R2_8_bin.1	No marker genes
R2_8_bin.2	No marker genes
R2_8_bin.3	No marker genes
R2_8_bin.4	No marker genes
F8GI_3_bin.1	No marker genes
F8GI_3_bin.2	No marker genes
F8HG_3_bin.1	No marker genes
