bins	Red Algae CaZy	Brown Algae CaZy	Green Algae CaZy	Sulfatases	Peptidogylcanases
GCF_014651455.1	10	33	5	297	4
GCF_018861085.1	8	33	1	223	4
GCF_001697185.1	15	38	7	187	2
GCF_902374845.1	3	2	1	149	5
GCF_903181445.1	0	11	0	114	9
GCF_018362775.1	0	0	1	104	5
GCF_001413955.1	3	19	3	104	7
GCF_018141445.1	13	16	0	103	6
GCA_018374945.1	0	8	0	65	5
GCA_019115075.1	0	2	0	55	3
F6GI_4_bin.2	16	1	0	50	0
GCA_016929525.1	1	3	0	44	4
GCF_018141425.1	0	10	0	44	7
GCF_000455265.1	0	4	0	42	6
F6HG_3_bin.23	13	1	0	38	0
R1_28_bin.3	31	17	0	36	4
GCA_019119845.1	0	2	0	34	5
GCA_017467745.1	0	1	0	32	5
GCA_019115605.1	0	2	0	32	3
R1_6_bin.1	16	19	0	31	4
F7HG_2_bin.12	15	13	0	30	4
F7HG_3_bin.1	26	13	0	30	4
GCA_019113395.1	0	6	0	30	4
RUG30040	0	2	0	30	6
RUG30246	0	4	0	29	7
F7HG_3_bin.6	15	9	0	28	4
GCA_019119475.1	0	2	0	28	3
R1_6_bin.16	11	3	0	26	3
GCF_001558875.2	0	4	0	26	13
F7HG_2_bin.6	24	15	0	25	4
R1_6_bin.3	14	17	0	25	4
R1_6_bin.9	5	3	0	24	4
GCF_016901855.1	1	4	0	24	5
F5HG_3_bin.2	3	6	3	23	3
R2_26_bin.3	14	13	0	23	2
R1_6_bin.8	6	4	0	22	2
GCA_020054675.1	0	1	0	22	5
F7HG_2_bin.1	16	8	0	21	5
R1_28_bin.18	10	7	0	21	1
F6HG_3_bin.22	0	0	0	20	4
GCF_002995655.1	0	0	0	20	20
RUG30097	0	1	0	20	9
F6GI_4_bin.1	2	0	0	19	3
R1_28_bin.7	15	9	0	19	5
GCF_000400225.1	0	1	0	19	14
R1_12_bin.1	5	4	0	18	3
R1_28_bin.5	0	4	4	18	3
GCA_017411305.1	0	3	0	18	6
RUG30170	0	0	0	18	4
F5HG_2_bin.8	13	7	0	17	4
F7HG_2_bin.17	11	9	0	17	4
GCF_000400325.1	0	1	0	17	12
F5HG_3_bin.9	14	8	0	16	5
F6HG_2_bin.12	0	1	0	16	4
R1_28_bin.10	1	5	3	16	4
R2_26_bin.7	6	10	0	15	3
GCA_017467185.1	0	0	0	15	3
GCA_017647525.1	0	0	0	15	3
GCA_015066815.1	0	1	0	14	7
GCF_003460465.1	0	1	0	14	8
GCF_900604945.1	0	1	0	14	9
GCA_015067335.1	0	0	0	13	12
GCA_017415165.1	0	1	0	13	4
F8HG_2_bin.1	0	3	3	12	5
R1_25_bin.2	0	0	0	12	6
R1_28_bin.16	10	8	0	12	5
R1_28_bin.2	13	10	1	12	5
GCA_017462345.1	0	0	0	12	5
GCA_905373755.1	0	1	0	12	2
GCF_000178235.1	0	0	0	12	11
GCF_019209835.1	0	0	0	12	15
R1_28_bin.4	4	3	4	11	4
R1_28_bin.9	0	1	0	11	3
GCF_009935875.1	0	0	0	11	3
GCF_009938165.1	0	0	0	11	13
F6GI_4_bin.4	0	3	3	10	5
F6HG_3_bin.17	0	1	0	10	4
F6HG_3_bin.25	3	5	0	10	4
R1_6_bin.6	8	1	0	10	4
R2_26_bin.2	1	8	0	10	4
GCA_012519815.1	0	0	0	10	3
GCF_000723465.1	0	1	0	10	8
F6GI_4_bin.10	6	4	0	9	4
F6HG_2_bin.16	5	7	0	9	5
F6HG_2_bin.8	2	0	0	9	4
F6HG_3_bin.4	2	3	0	9	4
F7HG_2_bin.15	0	1	0	9	4
F8HG_2_bin.4	0	3	3	9	5
R1_25_bin.6	12	10	0	9	4
GCF_000518245.1	0	0	0	9	6
GCF_003730795.1	0	0	0	9	16
GCF_020911745.1	0	0	0	9	17
RUG30079	0	2	0	9	7
F7HG_2_bin.13	0	3	3	8	2
F7HG_2_bin.14	0	3	3	8	5
R1_25_bin.4	1	4	0	8	6
R1_28_bin.14	15	10	0	8	2
R1_28_bin.17	1	1	0	8	4
GCF_900174585.1	0	0	0	8	9
GCF_900450655.1	0	0	0	8	11
F6GI_4_bin.12	0	5	0	7	5
R2_24_bin.1	0	8	0	7	3
GCF_000248015.1	0	0	0	7	17
GCF_002180235.1	0	0	0	7	19
GCF_900167065.1	0	0	0	7	4
F5GI_2_bin.3	0	1	0	6	16
F5GI_3_bin.2	0	1	0	6	15
F5HG_2_bin.1	0	1	0	6	15
F6HG_2_bin.13	6	2	0	6	5
F6HG_3_bin.10	0	2	0	6	4
F7GI_3_bin.9	0	0	0	6	2
F7HG_2_bin.16	0	2	0	6	4
F8HG_2_bin.6	1	2	0	6	2
F7HG_2_bin.11	2	1	0	5	0
R1_28_bin.12	0	0	0	5	1
R1_6_bin.10	3	4	0	5	6
R1_6_bin.14	0	1	0	5	15
GCF_001672295.1	0	0	0	5	5
GCF_900112165.1	0	0	0	5	4
F5HG_3_bin.11	2	1	0	4	1
F5HG_3_bin.3	0	1	0	4	4
F6HG_2_bin.14	0	2	0	4	3
F6HG_2_bin.4	0	1	0	4	4
F6HG_3_bin.9	0	1	0	4	4
F7GI_3_bin.4	2	0	0	4	5
GCA_009929735.1	0	0	0	4	3
GCF_001561955.1	0	0	0	4	3
F5HG_2_bin.3	0	0	0	3	4
F5HG_3_bin.4	3	0	0	3	4
F6GI_4_bin.11	1	1	0	3	2
R1_29_bin.4	0	0	0	3	1
R1_6_bin.2	0	0	0	3	4
F6HG_2_bin.3	4	2	0	2	1
F6HG_2_bin.5	0	0	0	2	4
F6HG_2_bin.9	1	0	0	2	3
F6HG_3_bin.7	9	2	0	2	1
F7HG_2_bin.18	0	2	0	2	3
F7HG_2_bin.9	0	1	0	2	1
R1_28_bin.1	0	2	0	2	4
R1_28_bin.8	0	0	0	2	13
R2_24_bin.3	1	6	0	2	7
R2_24_bin.4	0	0	0	2	3
R2_26_bin.1	0	0	0	2	4
R2_26_bin.5	0	0	0	2	3
GCF_000422665.1	0	1	0	2	11
GCF_009696265.1	0	0	0	2	7
F5HG_3_bin.5	0	0	0	1	5
F5HG_3_bin.6	0	0	0	1	12
F6GI_4_bin.3	0	0	0	1	13
F6HG_2_bin.15	0	0	0	1	4
F6HG_3_bin.12	0	7	0	1	0
F6HG_3_bin.21	0	0	0	1	2
F6HG_3_bin.3	0	1	0	1	3
F7GI_3_bin.8	1	0	0	1	3
F7HG_2_bin.10	0	3	0	1	4
F7HG_2_bin.2	0	0	0	1	7
F7HG_2_bin.7	0	0	0	1	2
F7HG_3_bin.2	0	0	0	1	7
F8HG_2_bin.3	0	5	0	1	1
R1_12_bin.6	2	0	0	1	4
R1_25_bin.1	3	1	0	1	7
R1_25_bin.5	0	0	0	1	4
R1_25_bin.7	7	1	0	1	9
R1_28_bin.11	0	0	0	1	3
R1_28_bin.6	0	0	0	1	6
R1_29_bin.5	0	4	1	1	5
R1_43_bin.1	0	0	0	1	11
R1_6_bin.11	7	1	0	1	9
R2_24_bin.5	0	0	0	1	4
R2_8_bin.2	0	0	0	1	15
GCA_003497105.1	0	0	0	1	6
F5GI_2_bin.1	0	0	0	0	10
F5GI_2_bin.2	0	0	0	0	2
F5GI_3_bin.1	0	0	0	0	3
F5GI_3_bin.3	0	2	0	0	3
F5GI_3_bin.4	0	0	0	0	9
F5GI_3_bin.5	0	0	0	0	2
F5GI_3_bin.6	0	0	0	0	0
