"","prot","annot","sulf_id","blast","id"
"1","F5HG2_19087","GH10",34.1,"nr_id",35.4
"2","F5HG2_19087","GH10",34.1,"self_id",100
"3","F5HG2_19087","GH10",34.1,"dbCAN_id",34.5
"4","F5HG2_32923","GH10",35.1,"nr_id",42.5
"5","F5HG2_32923","GH10",35.1,"self_id",100
"6","F5HG2_32923","GH10",35.1,"dbCAN_id",39.6
"7","F5HG3_12176","GH10",34.1,"nr_id",35.4
"8","F5HG3_12176","GH10",34.1,"self_id",100
"9","F5HG3_12176","GH10",34.1,"dbCAN_id",34.5
"10","F5HG3_54967","GH10",35.1,"nr_id",42.5
"11","F5HG3_54967","GH10",35.1,"self_id",100
"12","F5HG3_54967","GH10",35.1,"dbCAN_id",39.6
"13","F6HG2_10760","GH10",40.4,"nr_id",64
"14","F6HG2_10760","GH10",40.4,"self_id",100
"15","F6HG2_10760","GH10",40.4,"dbCAN_id",62.5
"16","F6HG2_12026","GH10",32.8,"nr_id",45.6
"17","F6HG2_12026","GH10",32.8,"self_id",99.5
"18","F6HG2_12026","GH10",32.8,"dbCAN_id",37.6
"19","F6HG2_12027","GH10",34.3,"nr_id",44.8
"20","F6HG2_12027","GH10",34.3,"self_id",99.7
"21","F6HG2_12027","GH10",34.3,"dbCAN_id",36.8
"22","F6HG2_12028","GH10",34.3,"nr_id",43.8
"23","F6HG2_12028","GH10",34.3,"self_id",100
"24","F6HG2_12028","GH10",34.3,"dbCAN_id",37
"25","F6HG2_12030","GH10",34.2,"nr_id",46.1
"26","F6HG2_12030","GH10",34.2,"self_id",75.7
"27","F6HG2_12030","GH10",34.2,"dbCAN_id",38.8
"28","F6HG2_16136","GH10",NA,"nr_id",33.3
"29","F6HG2_16136","GH10",NA,"self_id",99.6
"30","F6HG2_16136","GH10",NA,"dbCAN_id",37.6
"31","F6HG2_24958","GH10",NA,"nr_id",40.3
"32","F6HG2_24958","GH10",NA,"self_id",100
"33","F6HG2_24958","GH10",NA,"dbCAN_id",39.2
"34","F6HG2_28701","GH10",42.2,"nr_id",45.4
"35","F6HG2_28701","GH10",42.2,"self_id",100
"36","F6HG2_28701","GH10",42.2,"dbCAN_id",45.7
"37","F6HG2_29146","GH10",34.7,"nr_id",48.8
"38","F6HG2_29146","GH10",34.7,"self_id",99.7
"39","F6HG2_29146","GH10",34.7,"dbCAN_id",48
"40","F6HG2_33395","GH10",33.9,"nr_id",44.1
"41","F6HG2_33395","GH10",33.9,"self_id",100
